# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Fri Mar 25 12:15:35 2022
#
# User preference: *
#
# CONSTRAINT:  where (default_flag = 1)
# CONSTRAINT:  order by pl_rade desc
#
# COLUMN pl_name:        Planet Name
# COLUMN default_flag:   Default Parameter Set
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN disc_facility:  Discovery Facility
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN ttv_flag:       Data show Transit Timing Variations
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_vmag:        V (Johnson) Magnitude
# COLUMN sy_kmag:        Ks (2MASS) Magnitude
# COLUMN sy_gaiamag:     Gaia Magnitude
#
pl_name,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,pl_controv_flag,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_orbeccen,pl_insol,pl_eqt,ttv_flag,st_spectype,st_teff,st_rad,st_mass,st_met,st_logg,sy_dist,sy_vmag,sy_kmag,sy_gaiamag
HAT-P-33 b,1,2,1,Transit,2011,HATNet,0,3.47447000,,20.737,1.850,292.40360,0.92000,Mass,0.000000,,,0,,6446.00,1.79,1.82,0.050,4.15,396.1100000,11.0320000,10.0040000,11.0238000
WASP-76 b,1,2,1,Transit,2016,SuperWASP,0,1.80988600,0.033000,20.512,1.830,292.40360,0.92000,Mass,0.000000,,2160,0,F7,6250.00,1.73,1.46,0.230,4.13,194.4590000,9.5180000,8.2430000,9.3950700
WASP-178 b,1,1,1,Transit,2019,WASP-South,0,3.34482850,0.055800,20.288,1.810,527.59780,1.66000,Mass,0.000000,,2470,0,A1 IV-V,9360.00,1.67,2.07,0.210,4.31,427.6780000,9.9460000,9.7030000,9.9122600
KELT-12 b,1,1,1,Transit,2017,KELT-North,0,5.03162300,0.067080,19.952,1.780,301.93850,0.95000,Mass,0.000000,1749.00,1800,0,,6279.00,2.37,1.59,0.190,3.89,368.0300000,10.5850000,9.3620010,10.4842000
TOI-640 b,1,1,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),0,5.00377750,0.066080,19.851,1.771,279.69040,0.88000,Mass,0.050000,,1749,0,,6460.00,2.08,1.54,0.072,3.99,341.9970000,10.5100000,9.2430000,10.4006000
TOI-2669 b,1,1,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),0,6.20340000,,19.728,1.760,193.87533,0.61000,Mass,0.090000,,,0,,4800.00,4.10,1.19,0.100,3.29,393.4430000,10.9160000,8.4920000,10.6019000
Kepler-12 b,1,1,1,Transit,2011,Kepler,0,4.43796290,0.055300,19.661,1.754,137.30256,0.43200,Mass,,,1480,0,,5947.00,1.48,1.17,0.070,4.17,881.3860000,13.4680000,12.0660000,13.3596000
WASP-121 b,1,1,1,Transit,2016,SuperWASP,0,1.27492504,0.025960,19.649,1.753,367.72747,1.15700,Mass,0.000000,,,0,,,1.46,1.36,,,269.8980000,10.5140000,9.3740000,10.3746000
HATS-26 b,1,1,1,Transit,2016,HATSouth,0,3.30238810,0.047350,19.616,1.750,206.58950,0.65000,Mass,0.245000,,1918,0,F,6071.00,2.04,1.30,-0.020,3.94,861.8430000,13.0060000,11.4350000,12.8431000
KELT-14 b,1,1,1,Transit,2016,KELT-South,0,1.71005660,0.030050,19.537,1.743,408.09372,1.28400,Mass,0.000000,,1970,0,G4,5720.00,1.52,1.24,0.320,4.17,250.1210000,11.0010000,9.4240000,10.8384000
KELT-20 b,1,1,1,Transit,2017,KELT-North,0,3.47410850,0.054200,19.515,1.741,1074.90106,3.38200,Mass,,4362.50,2262,0,A2 V,8720.00,1.56,1.76,-0.290,4.29,136.4260000,7.5900000,7.4150000,7.5749200
KELT-15 b,1,2,1,Transit,2016,KELT-South,0,3.32944000,,19.504,1.740,416.35730,1.31000,Mass,0.000000,,,0,,6003.00,1.78,2.06,0.050,4.17,324.6830000,11.3900000,9.8540000,11.0694000
HAT-P-57 b,1,3,1,Transit,2015,HATNet,0,2.46530000,,19.504,1.740,448.14030,1.41000,Mass,0.000000,,,0,,6330.00,1.85,2.77,-0.250,4.25,279.8600000,10.6390000,9.4330000,10.4253000
HAT-P-64 b,1,1,1,Transit,2021,HATNet,0,4.00723200,0.053870,19.089,1.703,184.34048,0.58000,Mass,0.101000,1611.00,1766,0,,6457.00,1.74,1.30,-0.113,4.07,651.8970000,12.8550000,11.1230000,12.6221000
Qatar-7 b,1,1,1,Transit,2019,Qatar,0,2.03204600,0.035200,19.055,1.700,597.52040,1.88000,Mass,0.000000,,2053,0,F4 V,6387.00,1.56,1.41,0.276,4.20,705.9810000,13.1340000,11.5610000,12.9275000
KELT-4 A b,1,3,1,Transit,2016,KELT,0,2.98959320,0.043170,19.044,1.699,286.68266,0.90200,Mass,0.000000,1840.00,1823,0,F,6206.00,1.60,1.20,-0.116,4.11,218.0500000,9.9800000,8.6890000,9.9570200
HATS-56 b,1,1,1,Transit,2019,HATSouth,0,4.32479900,0.060430,18.921,1.688,191.33366,0.60200,Mass,0.019000,,1902,0,,6536.00,2.20,1.57,0.190,3.95,564.4090000,11.4770000,10.2510000,11.4877000
HATS-67 b,1,1,1,Transit,2018,HATSouth,0,1.60917880,0.030320,18.887,1.685,460.85350,1.45000,Mass,0.057000,3821.00,2193,0,,6594.00,1.44,1.44,0.332,4.28,960.1090000,13.6980000,12.3270000,13.5596000
HATS-64 b,1,1,1,Transit,2018,HATSouth,0,4.90889700,0.065620,18.820,1.679,305.11680,0.96000,Mass,0.151000,1711.00,1793,0,,6554.00,2.11,1.56,0.220,3.98,1080.1500000,13.0450000,11.7050000,12.8390000
HAT-P-69 b,1,1,1,Transit,2019,HATNet,0,4.78694910,0.065550,18.786,1.676,1137.83140,3.58000,Mass,0.000000,,1930,0,,7394.00,1.93,1.65,-0.069,4.11,341.2630000,9.7740000,9.2800000,9.7733200
WASP-79 b,1,1,1,Transit,2012,SuperWASP,0,3.66238000,,18.719,1.670,270.15550,0.85000,Mass,0.000000,,,0,,6600.00,1.60,1.43,0.030,4.20,246.6900000,10.0440000,9.0560000,9.9720200
Kepler-447 b,1,1,1,Transit,2015,Kepler,0,7.79430132,0.076900,18.490,1.650,435.41000,1.37000,Mass,0.123000,,,0,G8 V,5493.00,1.05,1.00,0.070,4.40,268.0410000,12.5200000,10.8060000,12.3795000
WASP-187 b,1,1,1,Transit,2020,SuperWASP,0,5.14787800,0.065300,18.383,1.640,254.26400,0.80000,Mass,0.000000,,,0,F,6150.00,2.83,1.54,0.000,3.72,371.4140000,10.2950000,8.7900000,10.1318000
HATS-31 b,1,1,1,Transit,2016,HATSouth,0,3.37796000,0.047800,18.383,1.640,279.69040,0.88000,Mass,0.233000,,1823,0,,6050.00,1.87,1.27,0.000,4.00,773.9740000,13.3150000,11.5720000,12.9613000
HAT-P-60 b,1,1,1,Transit,2021,HATNet,0,4.79478130,0.062770,18.282,1.631,182.43351,0.57400,Mass,0.250000,1634.00,1772,0,,6212.00,2.20,1.44,0.037,3.91,233.2200000,9.7270000,8.3680000,9.5635500
WASP-90 b,1,1,1,Transit,2016,SuperWASP,0,3.91624300,0.056200,18.271,1.630,200.23290,0.63000,Mass,0.000000,,1840,0,F6,6430.00,1.98,1.55,0.110,4.03,466.4330000,11.6180000,10.2480000,11.4559000
Kepler-7 b,1,1,1,Transit,2009,Kepler,0,4.88548920,0.060670,18.181,1.622,140.16303,0.44100,Mass,,,1630,0,,5933.00,1.97,1.36,0.110,3.98,922.5620000,13.0080000,11.5350000,12.8649000
WASP-82 b,1,1,1,Transit,2015,SuperWASP,0,2.70579000,,18.159,1.620,371.86110,1.17000,Mass,0.000000,,,0,,6480.00,2.10,1.48,0.120,3.96,275.6640000,10.0730000,8.7590000,9.8979600
KELT-8 b,1,1,1,Transit,2015,KELT,0,3.24406000,,18.159,1.620,209.76780,0.66000,Mass,0.040000,,,0,,5754.00,1.46,0.81,0.270,4.08,197.5720000,10.8450000,9.1770000,10.6699000
WASP-189 b,1,1,1,Transit,2020,CHaracterising ExOPlanets Satellite (CHEOPS),0,2.72403300,0.050530,18.147,1.619,632.47853,1.99000,Mass,0.000000,,3353,0,,8000.00,2.36,2.03,0.290,3.90,99.7310000,6.5977600,6.0600000,6.5536900
TrES-4 b,1,2,1,Transit,2007,TrES,0,3.55395000,,18.046,1.610,247.90740,0.78000,Mass,0.000000,,,0,,6200.00,1.66,1.08,0.140,4.06,515.9800000,11.9320000,10.3300000,11.4731000
OGLE2-TR-L9 b,1,1,1,Transit,2008,OGLE,0,2.48553350,0.030800,18.046,1.610,1430.17500,4.50000,Mass,,,,0,,6933.00,1.53,1.52,,,1627.6300000,14.7180000,13.1170000,14.5637000
HATS-11 b,1,1,1,Transit,2016,HATSouth,0,3.61918800,0.050700,18.030,1.609,,,,,,1596,0,,6563.00,1.54,1.33,0.030,4.19,944.6030000,14.0600000,12.2430000,13.8333000
K2-52 b,1,1,1,Transit,2016,K2,0,3.53505500,0.054000,18.000,1.606,,,,,,2004,0,,7147.00,2.19,1.69,0.055,3.98,1038.4100000,15.9300000,11.8530000,15.2553000
KELT-7 b,1,1,1,Transit,2015,KELT,0,2.73477000,,17.934,1.600,441.78370,1.39000,Mass,0.000000,,,0,,6768.00,1.81,1.76,0.000,4.50,136.6810000,8.5600000,7.5430000,8.4517300
WASP-93 b,1,1,1,Transit,2016,SuperWASP,0,2.73253210,0.042110,17.901,1.597,467.21010,1.47000,Mass,0.000000,,1942,0,F4,6700.00,1.52,1.33,0.070,4.20,370.2840000,10.9660000,9.9420000,10.9780000
NGTS-2 b,1,1,1,Transit,2018,Paranal Observatory,0,4.51116400,0.063000,17.878,1.595,235.19420,0.74000,Mass,0.000000,,1468,0,F5 V,6478.00,1.70,1.64,-0.060,4.20,356.3910000,10.7890000,9.7990000,10.8605000
WASP-33 b,1,2,1,Transit,2010,SuperWASP,0,1.21987000,0.023900,17.856,1.593,665.21819,2.09300,Mass,,,2782,0,,7430.00,1.44,1.50,,,121.9440000,8.1400000,7.4680000,8.0700400
HAT-P-66 b,1,1,1,Transit,2016,HATNet,0,2.97208600,0.043630,17.822,1.590,248.86089,0.78300,Mass,0.090000,,1896,0,G0,6002.00,1.88,1.25,0.035,3.99,935.4560000,13.0140000,11.6750000,12.8922000
HAT-P-49 b,1,1,1,Transit,2014,HATNet,0,2.69155000,,17.822,1.590,699.22600,2.20000,Mass,0.000000,,,0,,6820.00,2.06,2.22,0.070,4.10,350.3510000,10.2050000,9.3460000,10.2071000
KELT-21 b,1,1,1,Transit,2018,KELT-North,0,3.61276470,0.052240,17.777,1.586,1242.71530,3.91000,Mass,0.000000,2950.00,2051,0,A8 V,7598.00,1.64,1.46,-0.405,4.17,470.8780000,10.4840000,10.0900000,10.5415000
WASP-94 A b,1,2,2,Transit,2014,SuperWASP,0,3.95019000,,17.710,1.580,158.91500,0.50000,Mass,0.000000,,,0,,6170.00,1.48,1.67,0.260,4.27,211.2110000,10.0510000,8.8740000,10.0285000
WASP-54 b,1,2,1,Transit,2012,SuperWASP,0,3.69364000,,17.710,1.580,187.51970,0.59000,Mass,0.070000,,,0,,6100.00,1.76,1.08,-0.270,4.00,251.3030000,10.4130000,9.0350000,10.2441000
WASP-177 b,1,1,1,Transit,2019,SuperWASP,0,3.07172200,0.039570,17.710,1.580,161.45764,0.50800,Mass,,,1142,0,K2,5017.00,0.89,0.88,0.250,4.49,176.8180000,12.3120000,10.1630000,12.0715000
WASP-167 b,1,1,1,Transit,2017,Multiple Observatories,0,2.02195960,0.036500,17.710,1.580,2542.64000,8.00000,Mass,,,2329,0,F1 V,7000.00,1.79,1.59,0.100,4.13,423.5520000,10.5170000,9.7600000,10.5786000
HATS-40 b,1,1,1,Transit,2018,HATSouth,0,3.26427360,0.049970,17.710,1.580,505.34970,1.59000,Mass,0.312000,,2101,0,,6460.00,2.26,1.56,0.010,3.92,1342.2900000,13.4780000,12.1470000,13.2842000
HAT-P-39 b,1,2,1,Transit,2012,HATNet,0,3.54387000,0.050900,17.609,1.571,190.37200,0.59900,Mass,0.000000,,1752,0,,6430.00,1.62,1.40,,,697.0040000,12.2820000,11.1570000,12.2269000
WASP-172 b,1,1,1,Transit,2018,SuperWASP-South,0,5.47743300,0.069400,17.598,1.570,149.38010,0.47000,Mass,0.000000,,1740,0,F1 V,6900.00,1.91,1.49,-0.100,4.05,538.1100000,10.9880000,10.1300000,11.0099000
KELT-18 b,1,2,1,Transit,2017,KELT-North,0,2.87175180,0.045500,17.598,1.570,375.03940,1.18000,Mass,0.000000,3152.00,2085,0,F4 V,6670.00,1.91,1.52,0.090,4.06,321.3760000,10.1600000,9.2100000,10.1036000
HATS-39 b,1,1,1,Transit,2018,HATSouth,0,4.57763480,0.060070,17.598,1.570,200.23290,0.63000,Mass,0.275000,,1645,0,,6572.00,1.62,1.38,0.000,4.16,878.5210000,12.7450000,11.5180000,12.6539000
KELT-3 b,1,2,1,Transit,2013,KELT,0,2.70339000,,17.486,1.560,616.59020,1.94000,Mass,0.000000,,,0,,6304.00,1.70,1.96,0.050,4.20,210.2520000,9.8160000,8.6620000,9.7632400
K2-260 b,1,1,1,Transit,2018,K2,0,2.62666570,0.040400,17.396,1.552,451.31860,1.42000,Mass,0.000000,,1957,0,F6 V,6367.00,1.69,1.39,-0.140,4.15,663.8340000,12.6240000,11.0930000,12.4667000
WASP-153 b,1,1,1,Transit,2017,SuperWASP,0,3.33260900,0.048000,17.374,1.550,123.95370,0.39000,Mass,0.009000,1400.00,1700,0,G0,5914.00,1.73,1.34,0.340,4.10,610.1760000,12.5910000,11.0510000,12.4967000
WASP-31 b,1,1,1,Transit,2010,SuperWASP,0,3.40590960,0.046590,17.363,1.549,151.91600,0.47800,Mass,0.000000,,,0,,6302.00,1.25,1.16,,,383.8290000,11.6580000,10.6500000,11.8163000
HD 202772 A b,1,2,1,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),0,3.30895800,0.052080,17.318,1.545,323.23311,1.01700,Mass,0.038000,3440.00,2132,0,,6272.00,2.59,1.72,0.300,3.85,161.4980000,8.3240000,6.9590000,8.2268800
Qatar-10 b,1,1,1,Transit,2019,Qatar,0,1.64532100,0.028600,17.295,1.543,233.92288,0.73600,Mass,0.000000,,1955,0,F7 V,6124.00,1.25,1.16,0.016,4.30,559.0680000,12.8680000,11.3820000,12.6978000
WASP-142 b,1,1,1,Transit,2016,SuperWASP-South,0,2.05286800,0.034700,17.150,1.530,266.97720,0.84000,Mass,0.000000,,2000,0,F8,6010.00,1.64,1.33,0.260,4.13,730.9330000,12.8710000,11.4420000,12.7568000
MASCARA-4 b,1,2,1,Transit,2020,Multiple Observatories,0,2.82406000,0.047000,17.150,1.530,985.27300,3.10000,Mass,0.000000,,2100,0,A7 V,7800.00,1.92,1.75,0.000,4.10,170.6960000,8.1910000,7.7500000,8.1740100
WASP-103 b,1,1,1,Transit,2014,SuperWASP,0,0.92554200,0.019850,17.127,1.528,473.54700,1.49000,Mass,,,2508,0,F8 V,6110.00,1.44,1.22,0.060,4.22,375.6470000,12.4020000,10.7670000,12.1931000
KELT-17 b,1,1,1,Transit,2016,KELT,0,3.08017160,0.048810,17.094,1.525,416.35730,1.31000,Mass,,,2087,0,A,7454.00,1.65,1.64,-0.018,4.22,226.5000000,9.2340000,8.6460000,9.2088700
Kepler-840 b,1,1,1,Transit,2016,Kepler,0,2.49577962,,17.070,1.523,,,,,,,0,,5920.00,1.06,1.04,0.000,4.41,1122.1900000,14.3500000,12.6000000,14.1291000
HAT-P-40 b,1,1,1,Transit,2012,HATNet,0,4.45724000,,17.038,1.520,152.55840,0.48000,Mass,0.000000,,,0,,6080.00,1.94,1.03,0.220,3.93,464.4690000,11.3400000,10.0090000,11.4162000
KOI-13 b,1,3,1,Transit,2011,Kepler,0,1.76358800,0.036410,16.948,1.512,2949.46240,9.28000,Mass,0.000640,,2550,1,,7650.00,1.74,1.72,0.200,4.20,519.0960000,9.7910000,9.4250000,10.3678000
HAT-P-7 b,1,2,1,Transit,2008,HATNet,0,2.20474000,,16.926,1.510,584.80720,1.84000,Mass,0.000000,,,0,,6389.00,2.00,1.56,0.260,4.07,341.0790000,10.4810000,9.3340000,10.3654000
HAT-P-56 b,1,1,1,Transit,2015,HATNet,0,2.79083000,,16.926,1.510,734.18730,2.31000,Mass,,,,0,,6566.00,1.47,1.42,0.000,3.39,320.6390000,10.9200000,9.8300000,10.8245000
WASP-176 b,1,1,1,Transit,2020,SuperWASP-North,0,3.89905200,0.053500,16.870,1.505,271.74465,0.85500,Mass,0.000000,,1721,0,F9,5941.00,1.93,1.34,0.164,4.00,568.4200000,12.0060000,10.6480000,11.9392000
HATS-65 b,1,2,1,Transit,2018,HATSouth,0,3.10516100,0.044970,16.825,1.501,260.93843,0.82100,Mass,0.062000,1178.00,1634,0,,6277.00,1.31,1.26,0.199,4.30,493.3200000,12.6790000,11.0950000,12.3793000
WASP-48 b,1,1,1,Transit,2011,SuperWASP,0,2.14363000,,16.814,1.500,254.26400,0.80000,Mass,0.000000,,,0,,5920.00,1.58,0.88,-0.120,4.03,454.1440000,11.6470000,10.3720000,11.5230000
WASP-168 b,1,2,1,Transit,2018,SuperWASP-South,0,4.15365800,0.051900,16.814,1.500,133.48860,0.42000,Mass,0.000000,,1340,0,F9 V,6000.00,1.12,1.08,-0.010,4.37,303.9410000,12.1240000,10.4430000,11.7139000
TOI-1130 c,1,1,2,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),0,8.35038100,0.070980,16.814,1.500,309.56642,0.97400,Mass,0.047000,,637,0,K7,4250.00,0.69,0.68,0.200,4.60,58.2609000,11.5950000,8.3510000,10.9028000
MASCARA-1 b,1,1,1,Transit,2017,Multiple Observatories,0,2.14878000,0.043000,16.814,1.500,1175.97100,3.70000,Mass,0.000000,,2570,0,A8,7554.00,2.10,1.72,0.000,4.00,182.2730000,8.2800000,7.7400000,8.2424300
HIP 65426 b,1,1,1,Imaging,2017,Paranal Observatory,0,,92.000000,16.814,1.500,2860.47000,9.00000,Mass,,,1500,0,A2 V,8840.00,1.77,1.96,,,108.8750000,7.0100000,6.7710000,6.9827300
HATS-27 b,1,1,1,Transit,2016,HATSouth,0,4.63703800,0.061100,16.814,1.500,168.44990,0.53000,Mass,0.581000,,1659,0,F,6438.00,1.74,1.42,0.090,4.11,816.9880000,12.7820000,11.5500000,12.6792000
TOI-4329 b,1,1,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),0,2.92230000,,16.813,1.500,143.02278,0.45000,Mass,0.068000,,,0,,6000.00,2.31,1.54,0.290,3.90,717.1280000,12.7240000,10.6300000,12.4747000
Kepler-854 b,1,1,1,Transit,2016,Kepler,0,2.14463285,,16.720,1.492,,,,,,,0,,6179.00,1.27,1.17,0.040,4.29,1397.0400000,13.4170000,12.0460000,13.5043000
TOI-1431 b,1,1,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),0,2.65023700,0.046000,16.701,1.490,991.62463,3.12000,Mass,0.002200,5300.00,2370,0,Am C,7690.00,1.92,1.90,0.090,4.15,148.9250000,8.0300000,7.4390000,7.9756100
TIC 257060897 b,1,1,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),0,3.66002800,0.051000,16.701,1.490,212.94503,0.67000,Mass,0.030000,,1762,0,,,1.82,1.32,,,505.7030000,11.8140000,10.3870000,11.6659000
