"","Name","Engine","Cylinders","Horsepower","Weight","WheelBase","Length","Width"
"290","Porsche Boxster S convertible 2d",3.2,6,258,2911,95,170,70
"164","Cadillac CTS VVT 4dr",3.6,6,255,3694,113,190,71
"165","Chrysler 300M Special Edition 4d",3.5,6,255,3650,113,198,74
"169","Infiniti I35 4dr",3.5,6,255,3306,108,194,70
"110","Chrysler 300M 4dr",3.5,6,250,3581,113,198,74
"187","Saab 9-5 Aero 4dr",2.3,4,250,3470,106,190,71
"201","Audi A6 2.7 Turbo Quattro 4dr",2.7,6,250,3836,109,192,71
"250","Audi TT 3.2 coupe 2dr (convertib",3.2,6,250,3351,96,159,73
"359","Chrysler Pacifica",3.5,6,250,4675,116,199,79
"373","Saab 9-5 Aero",2.3,4,250,3620,106,190,71
"193","Volvo S60 T5 4dr",2.3,5,247,3766,107,180,71
"133","Nissan Altima SE 4dr",3.5,6,245,3197,110,192,70
"336","Toyota 4Runner SR5 V6",4,6,245,4035,110,189,74
"371","Nissan Murano SL",3.5,6,245,3801,111,188,74
"244","Volvo C70 HPT convertible 2dr",2.3,5,242,3450,105,186,72
"105","Buick Regal GS 4dr",3.8,6,240,3536,109,196,73
"107","Chevrolet Impala SS 4dr",3.8,6,240,3606,111,200,73
"118","Honda Accord LX V6 4dr",3,6,240,3349,108,190,72
"119","Honda Accord EX V6 2dr",3,6,240,3294,105,188,71
"210","Buick Park Avenue Ultra 4dr",3.8,6,240,3909,114,207,75
"263","Honda S2000 convertible 2dr",2.2,4,240,2835,95,162,69
"309","Toyota Sequoia SR5",4.7,8,240,5270,118,204,78
"317","Honda Pilot LX",3.5,6,240,4387,106,188,77
"331","Nissan Pathfinder SE",3.5,6,240,3871,106,183,72
"393","Honda Odyssey LX",3.5,6,240,4310,118,201,76
"394","Honda Odyssey EX",3.5,6,240,4365,118,201,76
"398","Nissan Quest S",3.5,6,240,4012,124,204,78
"399","Nissan Quest SE",3.5,6,240,4175,124,204,78
"167","Ford Crown Victoria LX Sport 4dr",4.6,8,239,4057,115,212,78
"227","Lincoln Town Car Signature 4dr",4.6,8,239,4369,118,215,78
"228","Lincoln Town Car Ultimate 4dr",4.6,8,239,4369,118,215,78
"229","Lincoln Town Car Ultimate L 4dr",4.6,8,239,4474,124,221,78
"273","Mazda RX-8 4dr manual",1.3,-1,238,3029,106,174,NA
"216","Jaguar S-Type 3.0 4dr",3,6,235,3777,115,192,72
"322","Lexus GX 470",4.7,8,235,4740,110,188,74
"323","Lexus LX 470",4.7,8,235,5590,112,193,76
"112","Chrysler Concorde LXi 4dr",3.5,6,232,3548,113,208,74
"115","Dodge Intrepid ES 4dr",3.5,6,232,3487,113,204,75
"174","Lincoln LS V6 Luxury 4dr",3,6,232,3681,115,194,73
"175","Lincoln LS V6 Premium 4dr",3,6,232,3681,115,194,73
"301","Ford Expedition 4.6 XLT",4.6,8,232,5000,119,206,79
"414","Ford F-150 Regular Cab XL",4.6,8,231,4788,126,NA,NA
"132","Mitsubishi Galant GTS 4dr",3.8,6,230,3649,108,191,72
"299","Dodge Durango SLT",4.7,8,230,4987,119,201,76
"324","Lexus RX 330",3.3,6,230,4065,107,186,73
"337","Toyota Highlander V6",3.3,6,230,3935,107,185,72
"403","Toyota Sienna CE",3.3,6,230,4120,119,200,77
"404","Toyota Sienna XLE Limited",3.3,6,230,4165,119,200,77
"289","Porsche Boxster convertible 2dr",2.7,6,228,2811,95,170,70
"170","Jaguar X-Type 3.0 4dr",3,6,227,3516,107,184,70
"291","Subaru Impreza WRX 4dr",2,4,227,3085,99,174,69
"93","Toyota Camry Solara SE V6 2dr",3.3,6,225,3417,107,193,72
"143","Toyota Camry Solara SLE V6 2dr",3.3,6,225,3439,107,193,72
"158","BMW 330i 4dr",3,6,225,3285,107,176,69
"159","BMW 330Ci 2dr",3,6,225,3285,107,176,69
"160","BMW 330xi 4dr",3,6,225,3483,107,176,69
"171","Lexus ES 330 4dr",3.3,6,225,3460,107,191,71
"197","Acura 3.5 RL 4dr",3.5,6,225,3880,115,197,72
"198","Acura 3.5 RL w/Navigation 4dr",3.5,6,225,3893,115,197,72
"205","BMW 330Ci convertible 2dr",3,6,225,3616,107,177,69
"206","BMW 530i 4dr",3,6,225,3472,114,191,73
"249","Audi TT 1.8 Quattro 2dr (convert",1.8,4,225,2921,96,159,73
"254","BMW Z4 convertible 3.0i 2dr",3,6,225,2998,98,161,70
"311","BMW X3 3.0i",3,6,225,4023,110,180,73
"116","Ford Crown Victoria 4dr",4.6,8,224,4057,115,212,78
"117","Ford Crown Victoria LX 4dr",4.6,8,224,4057,115,212,78
"128","Mercury Grand Marquis GS 4dr",4.6,8,224,4052,115,212,78
"129","Mercury Grand Marquis LS Premium",4.6,8,224,4052,115,212,78
"181","Mercury Grand Marquis LS Ultimat",4.6,8,224,4052,115,212,78
"235","Mercedes-Benz E320 4dr",3.2,6,221,3635,112,190,71
"367","Mercedes-Benz E320",3.2,6,221,3966,112,190,71
"113","Chrvsler PT Cruiser GT 4dr",2.4,4,220,3217,103,169,67
"150","Audi A4 3.0 4dr",3,6,220,3462,104,179,70
"151","Audi A4 3.0 Quattro 4dr manual",3,6,220,3583,104,179,70
"152","Audi A4 3.0 Quattro 4dr auto",3,6,220,3627,104,179,70
"153","Audi A6 3.0 4dr",3,6,220,3561,109,192,71
"154","Audi A6 3.0 Quattro 4dr",3,6,220,3880,109,192,71
"186","Saab 9-5 Arc 4dr",2.3,4,220,3470,106,190,71
"199","Audi A4 3.0 convertible 2dr",3,6,220,3814,105,180,70
"200","Audi A4 3.0 Quattro convertible",3,6,220,4013,105,180,70
"222","Lexus GS 300 4dr",3,6,220,3649,110,189,71
"339","Volkswagen Touareg V6",3.2,6,220,5086,112,187,76
"355","Audi A6 3.0 Avant Quattro",3,6,220,4035,109,192,71
"348","Land Rover Discovery SE",4.6,8,217,4576,100,185,74
"127","Mercedes-Benz C320 Sport 2dr",3.2,6,215,3430,107,178,68
"172","Lexus IS 300 4dr manual",3,6,215,3255,105,177,68
"173","Lexus IS 300 4dr auto",3,6,215,3285,105,177,68
"178","Mercedes-Benz C320 Sport 4dr",3.2,6,215,3430,107,178,68
"179","Mercedes-Benz C320 4dr",3.2,6,215,3450,107,178,68
"180","Mercedes-Benz C320 4dr",3.2,6,215,NA,107,178,68
"233","Mercedes-Benz CLK320 coupe 2dr (",3.2,6,215,3770,107,183,69
"258","Chrysler Crossfire 2dr",3.2,6,215,3060,95,160,70
"329","Mitsubishi Endeavor XLS",3.8,6,215,4134,109,190,74
"330","Mitsubishi Montero XLS",3.8,6,215,4718,110,190,75
"365","Lexus IS 300 SportCross",3,6,215,3410,105,177,68
"388","Chrysler Town and Country Limite",3.8,6,215,4331,119,201,79
"390","Dodge Grand Caravan SXT",3.8,6,215,4440,119,201,79
"413","Dodge Ram 1500 Regular Cab ST",3.7,6,215,4542,121,NA,NA
"140","Subaru Outback H6 4dr",3,6,212,3610,104,184,69
"188","Subaru Outback H-6 VDC 4dr",3,6,212,3630,104,184,69
"91","Toyota Camry LE V6 4dr",3,6,210,3296,107,189,71
"141","Toyota Avalon XL 4dr",3,6,210,3417,107,192,72
"142","Toyota Camry XLE V6 4dr",3,6,210,3362,107,189,71
"184","Saab 9-3 Arc Sport 4dr",2,4,210,3175,105,183,69
"185","Saab 9-3 Aero 4dr",2,4,210,3175,105,183,69
"189","Toyota Avalon XLS 4dr",3,6,210,3439,107,192,72
"239","Saab 9-3 Arc convertible 2dr",2,4,210,3480,105,182,69
"240","Saab 9-3 Aero convertible 2dr",2,4,210,3700,105,182,69
"279","Mitsubishi Eclipse GTS 2dr",3,6,210,3241,101,177,69
"280","Mitsubishi Eclipse Spyder GT con",3,6,210,3296,101,177,69
"316","Ford Explorer XLT V6",4,6,210,4463,114,190,72
"328","Mercury Mountaineer",4,6,210,4374,114,190,72
"411","Dodge Dakota Regular Cab",3.7,6,210,3714,112,NA,NA
"412","Dodge Dakota Club Cab",3.7,6,210,3829,131,NA,NA
"192","Volvo S60 2.5 4dr",2.5,5,208,3903,107,180,71
"195","Volvo S80 2.9 4dr",2.9,6,208,3576,110,190,72
"384","Volvo XC70",2.5,5,208,3823,109,186,73
"422","Mazda B4000 SE Cab Plus",4,6,207,3571,126,NA,NA
"103","Buick LeSabre Custom 4dr",3.8,6,205,3567,112,200,74
"131","Mitsubishi Diamante LS 4dr",3.5,6,205,3549,107,194,70
"162","Buick LeSabre Limited 4dr",3.8,6,205,3591,112,200,74
"163","Buick Park Avenue 4dr",3.8,6,205,3778,114,207,75
"64","Ford Taurus SES Duratec 4dr",3,6,201,3313,109,198,73
"130","Mercury Sable LS Premium 4dr",3,6,201,3315,109,200,73
"342","Ford Escape XLS",3,6,201,3346,103,173,70
"397","Mercury Monterey Luxury",4.2,6,201,4340,121,202,77
"53","Chevrolet Malibu LS 4dr",3.5,6,200,3297,106,188,70
"58","Chrysler Sebring Touring 4dr",2.7,6,200,3222,108,191,71
"59","Dodge Intrepid SE 4dr",2.7,6,200,3469,113,204,75
"84","Pontiac Grand Prix GT1 4dr",3.8,6,200,3477,111,198,74
"99","Acura RSX Type S 2dr",2,4,200,2778,101,172,68
"100","Acura TSX 4dr",2.4,4,200,3230,105,183,69
"104","Buick Regal LS 4dr",3.8,6,200,3461,109,196,73
"106","Chevrolet Impala LS 4dr",3.8,6,200,3476,111,200,73
"108","Chevrolet Malibu LT 4dr",3.5,6,200,3315,106,188,70
"109","Chevrolet Monte Carlo SS 2dr",3.8,6,200,3434,111,198,73
"111","Chrysler Concorde LX 4dr",2.7,6,200,3479,113,208,74
"137","Pontiac Grand Prix GT2 4dr",3.8,6,200,3484,111,198,74
"144","Volkswagen Jetta GLI VR6 4dr",2.8,6,200,3179,99,172,68
"166","Chrysler Sebring Limited convert",2.7,6,200,3448,106,194,69
"358","Chevrolet Malibu Maxx LS",3.5,6,200,3458,112,188,70
"396","Mazda MPV ES",3,6,200,3812,112,188,72
"408","Chevrolet Silverado 1500 Regular",4.3,6,200,4142,119,NA,NA
"243","Volvo C70 LPT convertible 2dr",2.4,5,197,3450,105,186,72
"272","Mazda RX-8 4dr automatic",1.3,-1,197,3053,106,174,NA
"125","Kia Amanti 4dr",3.5,6,195,NA,110,196,73
"319","Jeep Grand Cherokee Laredo",4,6,195,3790,106,181,72
"395","Kia Sedona LX",3.5,6,195,4802,115,194,75
"120","Hyundai XG350 4dr",3.5,6,194,3651,108,192,72
"121","Hyundai XG350 L 4dr",3.5,6,194,3651,108,192,72
"196","Volvo S80 2.5T 4dr",2.5,5,194,3691,110,190,72
"260","Ford Mustang 2dr (convertible)",3.8,6,193,3290,101,183,73
"318","Isuzu Rodeo S",3.2,6,193,3836,106,178,70
"391","Ford Freestar SE",3.9,6,193,4275,121,201,77
"124","Jaguar X-Type 2.5 4dr",2.5,6,192,3428,107,184,70
"277","Mercedes-Benz SLK230 convertible",2.3,4,192,3055,95,158,68
"320","Kia Sorento LX",3.5,6,192,4112,107,180,73
"190","Volkswagen Passat GLX V6 4MOTION",2.8,6,190,3721,106,185,69
"347","Jeep Wrangler Sahara convertible",4,6,190,3575,93,150,67
"385","Chevrolet Astro",4.3,6,190,4605,111,190,78
"392","GMC Safari SLE",4.3,6,190,4309,111,190,78
"420","GMC Sonoma Crew Cab",4.3,6,190,4083,123,NA,NA
"427","Toyota Tundra Regular Cab V6",3.4,6,190,3925,128,NA,NA
"428","Toyota Tundra Access Cab V6 SR5",3.4,6,190,4435,128,NA,NA
"126","Mercedes-Benz C230 Sport 2dr",1.8,4,189,3250,107,178,68
"314","Buick Rendezvous CX",3.4,6,185,4024,112,187,74
"332","Pontiac Aztekt",3.4,6,185,3779,108,182,74
"335","Suzuki XL-7 EX",2.7,6,185,3682,110,187,70
"386","Chevrolet Venture LS",3.4,6,185,3699,112,187,72
"400","Oldsmobile Silhouette GL",3.4,6,185,3948,120,201,72
"401","Pontiac Montana",3.4,6,185,3803,112,187,72
"402","Pontiac Montana EWB",3.4,6,185,4431,121,201,72
"102","BMW 325i 4dr",2.5,6,184,3219,107,176,69
"155","BMW 325Ci 2dr",2.5,6,184,3197,107,177,69
"156","BMW 325Ci convertible 2dr",2.5,6,184,3560,107,177,69
"157","BMW 325xi 4dr",2.5,6,184,3461,107,176,69
"161","BMW 525i 4dr",2.5,6,184,3428,114,191,73
"253","BMW Z4 convertible 2.5i 2dr",2.5,6,184,2932,98,161,70
"357","BMW 325xi Sport",2.5,6,184,3594,107,176,69
"86","Saturn L300-2 4dr",3,6,182,3197,107,190,69
"51","Chevrolet Impala 4dr",3.4,6,180,3465,111,200,73
"54","Chevrolet Monte Carlo LS 2dr",3.4,6,180,3340,111,198,73
"96","Volkswagen GTI 1.8T 2dr hatch",1.8,4,180,2934,99,168,68
"248","Audi TT 1.8 convertible 2dr (cou",1.8,4,180,3131,95,159,73
"293","Toyota Celica GT-S 2dr",1.8,4,180,2500,102,171,68
"352","Nissan Xterra XE V6",3.3,6,180,3760,104,178,70
"387","Chrysler Town and Country LX",3.3,6,180,4068,119,201,79
"423","Nissan Frontier King Cab XE V6",3.3,6,180,3932,116,NA,NA
"50","Buick Century Custom 4dr",3.1,6,175,3353,109,195,73
"80","Nissan Altima S 4dr",2.5,4,175,3039,110,192,70
"83","Pontiac Grand Am GT 2dr",3.4,6,175,3118,107,186,70
"407","Chevrolet Colorado Z85",2.8,4,175,3623,111,NA,NA
"417","GMC Canyon Z85 SL Regular Cab",2.8,4,175,3351,111,NA,NA
"349","Land Rover Freelander SE",2.5,6,174,3577,101,175,71
"345","Hyundai Santa Fe GLS",2.7,6,173,3549,103,177,73
"264","Hyundai Tiburon GT V6 2dr",2.7,6,172,3023,100,173,69
"62","Ford Focus SVT 2dr",2,4,170,2750,103,168,67
"71","Hyundai Sonata GLS 4dr",2.7,6,170,3217,106,187,72
"72","Hyundai Sonata LX 4dr",2.7,6,170,3217,106,187,72
"73","Kia Optima LX V6 4dr",2.7,6,170,3279,106,186,72
"101","Audi A4 1.8T 4dr",1.8,4,170,3252,104,179,70
"136","Oldsmobile Alero GLS 2dr",3.4,6,170,3085,107,187,70
"146","Volkswagen Passat GLS 4dr",1.8,4,170,3241,106,185,69
"147","Volvo S40 4dr",1.9,4,170,2767,101,178,68
"149","Audi A41.8T convertible 2dr",1.8,4,170,3638,105,180,70
"381","Volkswagen Passat GLS 1.8T",1.8,4,170,3338,106,184,69
"383","Volvo V40",1.9,4,170,2822,101,180,68
"176","Mercedes-Benz C240 4dr",2.6,6,168,3360,107,178,68
"177","Mercedes-Benz C240 4dr",2.6,6,168,3360,107,178,68
"366","Mercedes-Benz C240",2.6,6,168,3470,107,179,68
"81","Nissan Sentra SE-R 4dr",2.5,4,165,2761,100,178,67
"87","Subaru Impreza 2.5 RS 4dr",2.5,4,165,2965,99,174,69
"88","Subaru Legacy L 4dr",2.5,4,165,3285,104,184,69
"138","Subaru Legacy GT 4dr",2.5,4,165,3395,104,184,69
"139","Subaru Outback Limited Sedan 4dr",2.5,4,165,3495,104,184,69
"341","Chevrolet Tracker",2.5,6,165,2866,98,163,67
"353","Suzuki Vitara LX",2.5,6,165,3020,98,163,67
"376","Subaru Forester X",2.5,4,165,3090,99,175,68
"377","Subaru Outback",2.5,4,165,3430,104,187,69
"425","Subaru Baja",2.5,4,165,3485,104,NA,NA
"77","Mini Cooper S",1.6,4,163,2678,97,144,67
"354","Toyota RAV4",2.4,4,161,3119,98,167,68
"65","Honda Accord LX 2dr",2.4,4,160,2994,105,188,71
"66","Honda Accord EX 2dr",2.4,4,160,3047,105,188,71
"68","Honda Civic Si 2dr hatch",2,4,160,2782,101,166,67
"74","Mazda3 s 4dr",2.3,4,160,2762,NA,NA,NA
"75","Mazda6 i 4dr",2.3,4,160,3042,105,187,70
"78","Mitsubishi Galant ES 2.4L 4dr",2.4,4,160,3351,108,191,72
"343","Honda CR-V LX",2.4,4,160,3258,103,179,70
"344","Honda Element LX",2.4,4,160,3468,101,167,72
"351","Mitsubishi Outlander LS",2.4,4,160,3240,103,179,69
"370","Mitsubishi Lancer Sportback LS",2.4,4,160,3020,102,181,67
"90","Toyota Camry LE 4dr",2.4,4,157,3086,107,189,71
"92","Toyota Camry Solara SE 2dr",2.4,4,157,3175,107,193,72
"40","Suzuki Aeno S 4dr",2.3,4,155,2676,98,171,68
"41","Suzuki Aerio LX 4dr",2.3,4,155,2676,98,171,68
"63","Ford Taurus LX 4dr",3,6,155,3306,109,198,73
"76","Mercury Sable GS 4dr",3,6,155,3308,109,200,73
"89","Suzuki Verona LX 4dr",2.5,6,155,3380,106,188,72
"361","Ford Taurus SE",3,6,155,3497,109,198,73
"369","Mercury Sable GS",3,6,155,3488,109,198,73
"378","Suzuki Aerio SX",2.3,4,155,2932,98,167,68
"55","Chrysler PT Cruiser 4dr",2.4,4,150,3101,103,169,67
"56","Chrysler PT Cruiser Limited 4dr",2.4,4,150,3105,103,169,67
"57","Chrysler Sebring 4dr",2.4,4,150,3173,108,191,71
"60","Dodge Stratus SXT 4dr",2.4,4,150,3182,108,191,71
"61","Dodge Stratus SE 4dr",2.4,4,150,3175,108,191,71
"98","Volkswagen New Beetle GLS 1.8T 2",1.8,4,150,2820,99,161,68
"114","Chrysler Sebring convertible 2dr",2.4,4,150,3357,106,194,64
"346","Jeep Liberty Sport",2.4,4,150,3826,104,174,72
"389","Dodge Caravan SE",2.4,4,150,3862,113,189,79
"27","Mazda3 i 4dr",2,4,148,2696,NA,NA,NA
"52","Chevrolet Malibu 4dr",2.2,4,145,3174,106,188,70
"334","Saturn VUE",2.2,4,143,3381,107,181,72
"416","Ford Ranger 2.3 XL Regular Cab",2.3,4,143,3028,111,NA,NA
"421","Mazda B2300 SX Regular Cab",2.3,4,143,2960,112,NA,NA
"270","Mazda MX-5 Miata convertible 2dr",1.8,4,142,2387,89,156,66
"271","Mazda MX-5 Miata LS convertible",1.8,4,142,2387,89,156,66
"426","Toyota Tacoma",2.4,4,142,2750,103,NA,NA
"3","Chevrolet Cavalier 2dr",2.2,4,140,2617,104,183,69
"4","Chevrolet Cavalier 4dr",2.2,4,140,2676,104,183,68
"5","Chevrolet Cavalier LS 2dr",2.2,4,140,2617,104,183,69
"33","Pontiac Sunfire 1SA 2dr",2.2,4,140,2771,104,182,68
"34","Saturn Ion1 4dr",2.2,4,140,2692,103,185,67
"35","Saturn lon2 4dr",2.2,4,140,2692,103,185,67
"36","Saturn lon3 4dr",2.2,4,140,2692,103,185,67
"37","Saturn lon2 quad coupe 2dr",2.2,4,140,2751,103,185,68
"38","Saturn lon3 quad coupe 2dr",2.2,4,140,2751,103,185,68
"82","Oldsmobile Alero GX 2dr",2.2,4,140,2946,107,187,70
"85","Pontiac Sunfire 1SC 2dr",2.2,4,140,2771,104,182,68
"374","Saturn L300 2",2.2,4,140,3109,107,190,69
"18","Hyundai Elantra GLS 4dr",2,4,138,2635,103,178,68
"19","Hyundai Elantra GT 4dr",2,4,138,2635,103,178,68
"20","Hyundai Elantra GT 4dr hatch",2,4,138,2698,103,178,68
"21","Kia Optima LX 4dr",2.4,4,138,3281,106,186,72
"294","Toyota MR2 Spyder convertible 2d",1.8,4,138,2195,97,153,67
"6","Dodge Neon SE 4dr",2,4,132,2581,105,174,67
"7","Dodge Neon SXT 4dr",2,4,132,2626,105,174,67
"8","Ford Focus ZX3 2dr hatch",2,4,130,2612,103,168,67
"10","Ford Focus SE 4dr",2,4,130,2606,103,168,67
"11","Ford Focus ZX5 5dr",2,4,130,2691,103,168,67
"44","Toyota Corolla CE 4dr",1.8,4,130,2502,102,178,67
"45","Toyota Corolla S 4dr",1.8,4,130,2524,102,178,67
"46","Toyota Corolla LE 4dr",1.8,4,130,2524,102,178,67
"350","Mazda Tribute DX 2.0",2,4,130,3091,103,173,72
"360","Ford Focus ZTW",2,4,130,2702,103,178,67
"372","Pontiac Vibe",1.8,4,130,2701,102,172,70
"379","Toyota Matrix XR",1.8,4,130,2679,102,171,70
"67","Honda Civic EX 4dr",1.7,4,127,2601,103,175,68
"31","Nissan Sentra 1.8 4dr",1.8,4,126,2513,100,178,67
"32","Nissan Sentra 1.8 S 4dr",1.8,4,126,2581,100,178,67
"24","Kia Spectra 4dr",1.8,4,124,2661,101,178,68
"25","Kia Spectra GS 4dr hatch",1.8,4,124,2686,101,178,68
"26","Kia Spectra GSX 4dr hatch",1.8,4,124,2697,101,178,68
"29","Mitsubishi Lancer ES 4dr",2,4,120,2656,102,181,67
"30","Mitsubishi Lancer LS 4dr",2,4,120,2795,102,181,67
"79","Mitsubishi Lancer OZ Rally 4dr a",2,4,120,2744,102,181,67
"42","Suzuki Forenza S 4dr",2,4,119,2701,102,177,68
